D,e,x0,x1,x2,y0,y1,y2
0,-2.692840937,20.78196385,0,0,-2.692840937,0,0
0,-1.925667164,42.74342674,20.78196385,0,50.86232103,-2.692840937,0
0,0.303699713,46.86131798,42.74342674,20.78196385,94.96789157,50.86232103,-2.692840937
0,-0.426966156,47.94023971,46.86131798,42.74342674,119.4278783,94.96789157,50.86232103
0,-0.23232452,28.87547843,47.94023971,46.86131798,113.3272129,119.4278783,94.96789157
0,0.722313707,0.299445233,28.87547843,47.94023971,73.12310462,113.3272129,119.4278783
0,1.666354197,6.306464102,0.299445233,28.87547843,45.68409322,73.12310462,113.3272129
0,-0.112905376,12.94017673,6.306464102,0.299445233,39.82255002,45.68409322,73.12310462
0,-0.360970102,-20.61931261,12.94017673,6.306464102,6.401080663,39.82255002,45.68409322
0,-0.294146436,-45.60444383,-20.61931261,12.94017673,-52.00770625,6.401080663,39.82255002
0,0.68900895,-27.34720261,-45.60444383,-20.61931261,-74.4642687,-52.00770625,6.401080663
0,-0.014741605,-32.52748252,-27.34720261,-45.60444383,-82.44795978,-74.4642687,-52.00770625
0,0.703180813,3.119749513,-32.52748252,-27.34720261,-52.66479082,-82.44795978,-74.4642687
0,-1.662208269,40.16781971,3.119749513,-32.52748252,14.73309079,-52.66479082,-82.44795978
0,0.239421137,-16.96542107,40.16781971,3.119749513,11.72445532,14.73309079,-52.66479082
0,0.702650014,2.484453956,-16.96542107,40.16781971,1.566621096,11.72445532,14.73309079
0,0.185600936,-0.538054939,2.484453956,-16.96542107,2.673083523,1.566621096,11.72445532
0,-1.366034281,-0.184085351,-0.538054939,2.484453956,0.517394661,2.673083523,1.566621096
0,0.408540082,-41.64415055,-0.184085351,-0.538054939,-40.06895582,0.517394661,2.673083523
0,-0.457808556,-20.65274177,-41.64415055,-0.184085351,-60.96710351,-40.06895582,0.517394661
0,-1.057881273,-4.047234683,-20.65274177,-41.64415055,-44.9150386,-60.96710351,-40.06895582
0,1.084166678,-19.61935561,-4.047234683,-20.65274177,-42.01632558,-44.9150386,-60.96710351
0,-0.667090805,-10.28966556,-19.61935561,-4.047234683,-40.77459696,-42.01632558,-44.9150386
0,-2.58966262,33.2704344,-10.28966556,-19.61935561,6.148640512,-40.77459696,-42.01632558
0,-2.756139527,5.356179174,33.2704344,-10.28966556,23.3095771,6.148640512,-40.77459696
0,0.133077114,-10.5948732,5.356179174,33.2704344,4.871082055,23.3095771,6.148640512
0,4.78E-05,-48.84193978,-10.5948732,5.356179174,-50.70378752,4.871082055,23.3095771
0,0.389261692,-12.84815252,-48.84193978,-10.5948732,-61.23175448,-50.70378752,4.871082055
0,1.351602462,-3.81779271,-12.84815252,-48.84193978,-38.50614375,-61.23175448,-50.70378752
0,0.125812061,-25.50163995,-3.81779271,-12.84815252,-45.53779612,-38.50614375,-61.23175448
0,-0.625421731,27.7658285,-25.50163995,-3.81779271,-7.37931127,-45.53779612,-38.50614375
0,-0.367796878,-26.16059211,27.7658285,-25.50163995,-15.33513037,-7.37931127,-45.53779612
0,0.870281506,-16.67046834,-26.16059211,27.7658285,-35.54804807,-15.33513037,-7.37931127
0,-0.505326864,14.92268954,-16.67046834,-26.16059211,-10.69189553,-35.54804807,-15.33513037
0,-0.434976855,-11.33465686,14.92268954,-16.67046834,-8.654236715,-10.69189553,-35.54804807
0,0.235435425,-47.04296199,-11.33465686,14.92268954,-55.80197336,-8.654236715,-10.69189553
0,-0.507352829,30.88039441,-47.04296199,-11.33465686,-20.04942609,-55.80197336,-8.654236715
0,-0.00443336,-1.766480149,30.88039441,-47.04296199,4.644570651,-20.04942609,-55.80197336
0,1.113568016,-8.643809153,-1.766480149,30.88039441,-5.091195886,4.644570651,-20.04942609
0,1.125219215,-44.54656612,-8.643809153,-1.766480149,-49.28884943,-5.091195886,4.644570651
0,0.433019832,-19.72156282,-44.54656612,-8.643809153,-65.20625077,-49.28884943,-5.091195886
0,-0.015153112,-49.15208613,-19.72156282,-44.54656612,-90.63114604,-65.20625077,-49.28884943
0,0.767596116,-46.11286356,-49.15208613,-19.72156282,-114.2368835,-90.63114604,-65.20625077
0,-0.272364421,31.35312247,-46.11286356,-49.15208613,-48.09411549,-114.2368835,-90.63114604
0,1.621098891,-27.27703566,31.35312247,-46.11286356,-33.02643328,-48.09411549,-114.2368835
0,1.177792776,-1.846904712,-27.27703566,31.35312247,-29.82084641,-33.02643328,-48.09411549
0,1.41964988,-40.84669479,-1.846904712,-27.27703566,-54.26092047,-29.82084641,-33.02643328
0,0.400716289,15.30600498,-40.84669479,-1.846904712,-30.84708636,-54.26092047,-29.82084641
0,-0.063901613,-29.93688598,15.30600498,-40.84669479,-36.77132828,-30.84708636,-54.26092047
0,0.019332318,29.20994309,-29.93688598,15.30600498,-3.124831716,-36.77132828,-30.84708636
0,-0.321902386,1.629076093,29.20994309,-29.93688598,15.3497294,-3.124831716,-36.77132828
0,1.364991694,-35.54528199,1.629076093,29.20994309,-24.69088755,15.3497294,-3.124831716
0,0.943837298,-12.75836478,-35.54528199,1.629076093,-40.93261225,-24.69088755,15.3497294
0,1.038791314,-22.61355932,-12.75836478,-35.54528199,-47.42025653,-40.93261225,-24.69088755
0,-0.568228081,-36.6656314,-22.61355932,-12.75836478,-71.25076741,-47.42025653,-40.93261225
0,2.14440608,-23.56518865,-36.6656314,-22.61355932,-74.37898198,-71.25076741,-47.42025653
0,0.891046731,-49.24005208,-23.56518865,-36.6656314,-96.32109066,-74.37898198,-71.25076741
0,-0.086719769,-4.676397354,-49.24005208,-23.56518865,-76.5436885,-96.32109066,-74.37898198
0,-0.435328145,-49.080794,-4.676397354,-49.24005208,-89.12616507,-76.5436885,-96.32109066
0,-1.099662019,43.31619885,-49.080794,-4.676397354,-25.8869427,-89.12616507,-76.5436885
0,-0.123327688,-14.34381856,43.31619885,-49.080794,-4.752518176,-25.8869427,-89.12616507
0,-1.061387209,-8.798963592,-14.34381856,43.31619885,-18.40851917,-4.752518176,-25.8869427
0,0.886148409,19.42994118,-8.798963592,-14.34381856,7.712348205,-18.40851917,-4.752518176
0,-0.854048062,25.91818139,19.42994118,-8.798963592,39.63527802,7.712348205,-18.40851917
0,1.021413542,-27.92124761,25.91818139,19.42994118,6.876895639,39.63527802,7.712348205
0,-0.131681263,-43.43945149,-27.92124761,25.91818139,-53.09330873,6.876895639,39.63527802
0,1.240167014,7.041357665,-43.43945149,-27.92124761,-38.98485543,-53.09330873,6.876895639
0,-0.686117488,44.59155318,7.041357665,-43.43945149,28.93368681,-38.98485543,-53.09330873
0,0.510991573,18.31059256,44.59155318,7.041357665,56.58420412,28.93368681,-38.98485543
0,0.037504638,43.97675802,18.31059256,44.59155318,82.461661,56.58420412,28.93368681
0,1.46827078,46.85490209,43.97675802,18.31059256,112.5423824,82.461661,56.58420412
0,-1.112170468,44.59395844,46.85490209,43.97675802,124.1804302,112.5423824,82.461661
0,-0.010518468,-28.77513832,44.59395844,46.85490209,56.60153754,124.1804302,112.5423824
0,-2.013618296,4.846419332,-28.77513832,44.59395844,17.74600065,56.60153754,124.1804302
0,0.395956008,18.29465382,4.846419332,-28.77513832,30.98681982,17.74600065,56.60153754
0,-0.215267543,-9.6939462,18.29465382,4.846419332,15.73152308,30.98681982,17.74600065
0,-0.204110413,49.80225333,-9.6939462,18.29465382,53.61693136,15.73152308,30.98681982
0,0.691921315,-35.46665855,49.80225333,-9.6939462,17.93485511,53.61693136,15.73152308
0,0.161492348,-33.55130739,-35.46665855,49.80225333,-41.15571676,17.93485511,53.61693136
0,-1.544699022,10.49577743,-33.55130739,-35.46665855,-27.40243366,-41.15571676,17.93485511
0,-0.617214035,7.968188803,10.49577743,-33.55130739,-0.102353349,-27.40243366,-41.15571676
0,1.464264059,35.45722059,7.968188803,10.49577743,41.85440238,-0.102353349,-27.40243366
0,1.021889569,-47.30358827,35.45722059,7.968188803,-6.625887211,41.85440238,-0.102353349
0,2.68331255,-23.57806415,-47.30358827,35.45722059,-46.85948934,-6.625887211,41.85440238
0,-0.080501372,8.479146279,-23.57806415,-47.30358827,-25.82013184,-46.85948934,-6.625887211
0,-0.481709615,-14.46849633,8.479146279,-23.57806415,-22.62069872,-25.82013184,-46.85948934
0,-0.300025749,37.3857018,-14.46849633,8.479146279,19.54107853,-22.62069872,-25.82013184
0,0.829520214,18.44642259,37.3857018,-14.46849633,48.73933296,19.54107853,-22.62069872
0,-0.610755022,-29.02416905,18.44642259,37.3857018,4.957953706,48.73933296,19.54107853
0,0.283963956,-7.285624799,-29.02416905,18.44642259,-18.03476851,4.957953706,48.73933296
0,1.360845243,-14.88075832,-7.285624799,-29.02416905,-25.18010974,-18.03476851,4.957953706
0,-0.311538182,38.26496203,-14.88075832,-7.285624799,18.92298982,-25.18010974,-18.03476851
0,0.879304609,-23.63017054,38.26496203,-14.88075832,6.843109996,18.92298982,-25.18010974
0,-0.653092397,40.16981337,-23.63017054,38.26496203,32.1231907,6.843109996,18.92298982
0,0.85071546,30.44783631,40.16981337,-23.63017054,68.44505381,32.1231907,6.843109996
0,0.659115505,28.31237422,30.44783631,40.16981337,79.41793479,68.44505381,32.1231907
0,-1.075619845,-15.55178804,28.31237422,30.44783631,38.23774662,79.41793479,68.44505381
0,0.380130279,-38.76039729,-15.55178804,28.31237422,-26.03728771,38.23774662,79.41793479
0,0.498936458,-11.51400849,-38.76039729,-15.55178804,-42.41391453,-26.03728771,38.23774662
0,0.332217232,-6.734255027,-11.51400849,-38.76039729,-32.3659993,-42.41391453,-26.03728771
0,0.800075705,-49.65817574,-6.734255027,-11.51400849,-67.40822719,-32.3659993,-42.41391453
0,-0.337216497,36.61809843,-49.65817574,-6.734255027,-21.25231953,-67.40822719,-32.3659993
0,-0.099478633,-11.10282559,36.61809843,-49.65817574,-2.519414767,-21.25231953,-67.40822719
0,-0.216293143,-31.0865678,-11.10282559,36.61809843,-37.11398112,-2.519414767,-21.25231953
0,-0.976943168,-26.95246298,-31.0865678,-11.10282559,-61.0296806,-37.11398112,-2.519414767
0,-2.214442908,28.7551464,-26.95246298,-31.0865678,-16.4503683,-61.0296806,-37.11398112
0,-0.685181524,41.02657349,28.7551464,-26.95246298,47.49378101,-16.4503683,-61.0296806
0,0.917495588,-36.55105471,41.02657349,28.7551464,9.626618127,47.49378101,-16.4503683
0,0.001371309,4.23842691,-36.55105471,41.02657349,-8.222420072,9.626618127,47.49378101
0,-1.156508055,19.70317354,4.23842691,-36.55105471,17.55466891,-8.222420072,9.626618127
0,1.775362008,-18.65440824,19.70317354,4.23842691,2.749874995,17.55466891,-8.222420072
0,-1.381788248,-44.18114172,-18.65440824,19.70317354,-52.51519658,2.749874995,17.55466891
0,-0.99155424,-29.6659993,-44.18114172,-18.65440824,-78.00572269,-52.51519658,2.749874995
0,-0.172290565,7.448825782,-29.6659993,-44.18114172,-45.55932578,-78.00572269,-52.51519658
0,-0.724106775,-8.936313531,7.448825782,-29.6659993,-27.71567031,-45.55932578,-78.00572269
0,-0.509807075,-24.99491122,-8.936313531,7.448825782,-42.83071022,-27.71567031,-45.55932578
0,0.796972152,-9.503204978,-24.99491122,-8.936313531,-41.61904355,-42.83071022,-27.71567031
0,-0.083414798,-7.642942385,-9.503204978,-24.99491122,-32.28748144,-41.61904355,-42.83071022
0,2.372870929,-38.92837212,-7.642942385,-9.503204978,-55.52071311,-32.28748144,-41.61904355
0,0.088081939,-37.83262334,-38.92837212,-7.642942385,-83.96908401,-55.52071311,-32.28748144
0,-1.67887684,-28.42676274,-37.83262334,-38.92837212,-90.00649325,-83.96908401,-55.52071311
0,-1.981701925,-38.59801351,-28.42676274,-37.83262334,-98.79634344,-90.00649325,-83.96908401
0,-0.854687574,43.16498144,-38.59801351,-28.42676274,-25.38688461,-98.79634344,-90.00649325
