date,b1,b1_0,b2,b2_0,b3,b3_0,b4,b4_0,e1,e2,e3,e4,eps,f_sv1,f_sv2,f_sv3,f_sv4,fe_ols,fe_ols_chw,fe_tvp_chw,ser01,ser02,ser03,ser04,x1,x2,x3,x4,y,y_all,yf_ols,yf_ols_chw,yf_tvp_chw
1925-01-01,0,3.313586,0,1.779236,0,2.090236,0,1.988694,0.262536806,2.445835534,0.611010125,3.018783077,-1.504165005,#N/A,#N/A,#N/A,#N/A,707.9285829,#N/A,#N/A,0.493228815,-0.425176162,0.186993047,0.296655063,0.69427343,0.950876271,1.929559227,3.814120626,#N/A,14.20655597,40.81348332,#N/A,#N/A
1925-04-01,0,2.870687,0,1.615098,0,1.605548,0,2.42655,-2.347364122,1.75450299,-3.650218876,1.58692407,-1.291336866,3.663911066,2.057336655,0.722880114,1.423645268,591.0748392,#N/A,#N/A,-0.442899649,-0.164138424,-0.484687226,0.437856651,-1.618754152,1.42996309,-2.664053974,2.47905564,#N/A,-1.790456908,22.52157384,#N/A,#N/A
1925-07-01,0,2.506392,0,1.296781,0,1.728386,0,2.926722,-0.289572704,-0.498070732,2.812197722,-1.774482306,-0.297612095,3.672997702,2.078737927,0.697402986,1.473601894,92.52812801,#N/A,#N/A,-0.364294597,-0.318316677,0.12283754,0.500171146,-0.936688511,1.403566438,2.26896905,-0.974201519,#N/A,0.345234925,-9.2739193,#N/A,#N/A
1925-10-01,0,1.984508,0,0.9770089,0,2.232157,0,2.61657,-0.068350334,0.848872683,2.557366297,-1.871490055,2.285470334,3.687914796,2.091495942,0.664478197,1.525469182,287.6027854,#N/A,#N/A,-0.521884574,-0.319772385,0.503770681,-0.310151439,-0.173251202,2.658222435,2.72983914,-2.074003061,#N/A,5.305414274,-11.65344139,#N/A,#N/A
1926-01-01,0,1.214302,0,1.55665,0,2.027122,0,2.317095,1.351121136,0.577876021,0.548334471,2.544024193,2.216371321,3.725354193,2.038183066,0.590054543,1.592145438,344.905473,#N/A,#N/A,-0.770205599,0.579641559,-0.205034105,-0.299475021,1.49739586,2.537309823,1.89381639,2.224491446,#N/A,17.07772032,35.64935119,#N/A,#N/A
1926-04-01,0,1.182558,0,2.248612,0,2.176376,0,2.696438,0.504073414,-3.073559635,0.171528192,-1.033558165,4.386481022,3.732784089,1.927043084,0.47766891,1.619418893,34.64691343,#N/A,#N/A,-0.031744405,0.691961334,0.149253425,0.379343247,0.588319831,-1.299715284,0.497211109,-0.190599719,#N/A,2.827825963,-3.058336915,#N/A,#N/A
1926-07-01,0,0.6905048,0,2.371641,0,1.245793,0,2.689476,-1.425631886,4.377956582,-0.132244197,-0.987538785,-1.33519916,3.72534558,1.863492565,0.3736868,1.641987705,4.773851681,#N/A,#N/A,-0.492052713,0.123029349,-0.930583193,-0.006961969,-0.214712637,3.758454153,-0.004547227,-1.158563484,#N/A,4.40865111,2.22373654,#N/A,#N/A
1926-10-01,0,1.28206,0,2.807191,0,0.5786528,0,3.078099,0.979350218,3.364241293,-0.991891417,-0.300629398,-0.86727588,3.715233677,1.818330278,0.274516095,1.661315296,90.50108458,#N/A,#N/A,0.591555083,0.435550368,-0.667139827,0.388622721,1.666313422,5.521746359,-0.767730851,-0.401295911,#N/A,15.19015644,24.70336224,#N/A,#N/A
1927-01-01,0,0.9763075,0,3.069842,0,0.5195435,0,2.720347,-1.056189826,4.87230004,0.804340639,-1.053320369,-9.913796979,3.717201186,1.820546346,0.183452399,1.683238783,61.74794483,#N/A,#N/A,-0.305752429,0.262650608,-0.059109269,-0.35775245,0.684795551,8.626650047,0.725850919,-1.232137616,#N/A,14.36249595,22.220482,#N/A,#N/A
1927-04-01,0,1.656179,0,3.283906,0,0.3349409,0,2.143215,1.892221061,-0.387514182,-0.872913993,5.128698344,-1.878018828,3.721329679,2.135812304,0.190287685,1.698788979,2047.037387,#N/A,#N/A,0.679871362,0.21406349,-0.184602656,-0.577131282,2.188636445,4.726601648,0.818138231,5.142890219,#N/A,28.66481782,73.9090151,#N/A,#N/A
