date,gdp,infl,irate,ser01,ser02,ser03,ser04,ser05,ser06,ser07,ser08,ser09,ser10,ser11,ser12,ser13,ser14,ser15,ser16,ser17,ser18,ser19,ser20,ser21,ser22,ser23,ser24,ser25,ser26,ser27,ser28,ser29,ser30,ser31,ser32,ser33,ser34,ser35,ser36,ser37,ser38,ser39,ser40,ser41,ser42,ser43,ser44,ser45,ser46,ser47,ser48,ser49,ser50,ser51,ser52,ser53,ser54,ser55,ser56,ser57,ser58,ser59,ser60,ser61,ser62,ser63,ser64,ser65,ser66,ser67,ser68,ser69,ser70
4/1/1985,3.71755,3.6,7.92,-0.027953478,-0.08015174,-0.52294799,0.096493546,-0.135191906,2.200164134,-0.314263423,0.670138418,2.348398056,-0.956266025,1.328694911,6.180673396,0.596441717,-0.014533645,1.557312874,1.457248018,2.396144603,3.511884188,0.117978077,-0.139608445,-0.1597249,0.391471902,0.899245217,0.502573016,1.569763837,-0.730396473,-0.995055603,0.431699473,0.071428635,0.119623297,-0.531787646,-1.406261122,0.75337422,0.540078622,0,0.491116981,0.825805077,-0.349162736,1.830601953,3.699466382,-0.719838349,-0.117933589,-0.301218584,-0.147921046,-0.331610536,0.510964761,0.050164272,0.141222123,0.103160951,0.356438378,0.934890284,-0.18098446,-0.367137268,-0.677122663,-0.748353403,0.081501665,0.658958595,0.640903026,0,0.459665496,0.809284686,-0.076925034,-0.419231091,2.259627627,3.633867814,0.018625219,-0.486218791,0.637520678,-0.090214345,0.154495757
7/1/1985,6.36715,3.4,7.9,-0.246425376,-0.197270996,0.264908407,-0.307309902,-0.254849997,1.839922532,-1.248848609,0.299862665,2.817450844,-1.60488613,-0.969163763,5.812796021,-0.343219582,-0.120431483,1.712898866,1.691491799,-0.417756391,2.799844296,0.9715213,0.076945551,0.33612108,1.673890944,0.18942736,0.017287087,1.280885015,-0.643840193,1.036952681,-1.293861459,-0.139790182,0.008619422,-0.674310843,-0.160362755,-0.589291284,0.121230143,-0.48526897,0.838376324,0.964022377,0.408401344,1.251103304,3.122548102,-1.329495936,-0.605648003,-0.148114122,-0.090578589,0.784883379,-0.21488625,-0.15005912,0.040019617,-0.174869513,0.472966309,1.300597365,0.064282931,-0.002614192,-0.397884925,-0.501806761,0.322931148,-0.193673022,0.068878386,-0.190683614,-2.255625313,0.498742775,0.478128435,-0.166240554,2.140926534,4.177447911,-0.353764524,-0.441773098,0.006827589,-0.052239574,1.041907704
10/1/1985,3.03646,3.5,8.1,-0.301520169,-0.205196535,0.879318395,-0.409581529,0.195463566,1.231373967,-0.276883468,0.722283386,1.957421597,-2.003302226,0.929384086,5.619063497,1.064588791,-0.446730018,2.1015975,2.295195677,1.432579873,2.836277228,-0.527434477,0.620577856,-0.46436569,0.203052397,1.068229497,1.108910118,1.29335084,-0.317527201,0.746291702,0.432526484,0.490178295,0.444705989,0.068154621,0.297875196,2.044984875,0.088377691,0.094284356,0.555701928,0.732446665,-0.126168031,2.051565923,4.05557076,-2.014036956,0.093781127,-0.052032711,-0.119766246,0.078082713,0,-0.10091185,-0.135995092,-0.267494455,0.90023539,1.534319936,0.234879244,0.161706921,-0.113475373,-0.628599639,0.505689419,0.628598784,0.258747958,-0.482384142,0.657998703,-0.64274285,0.400419247,1.062488411,1.837851374,2.818588511,0.16861044,0.319883469,-0.044596965,0.028994654,-0.394420483
1/1/1986,3.75882,3.1,7.83,0.77712307,0.306299421,-0.041133239,1.592635336,0.836206392,0.528937575,-0.547309677,1.836577253,1.969955719,-1.75406572,1.399594789,4.96916505,-1.23899863,0.343703975,1.327662121,2.075458482,1.55117506,2.181638524,0.469907088,1.097220862,0.643001118,-0.23730736,1.42017232,0.811677253,0.898072599,-0.261871846,-0.241447315,0.432112583,0.481497368,0.799415818,0.175354069,2.318508907,-0.328459116,-1.124615833,-0.305259048,0.503054587,0.490776857,0.317031084,1.04620166,3.798275659,-1.566718877,-0.148765189,0.167839461,0.206999128,-0.192963028,-0.072207958,0.862766812,0.110724428,-0.1726382,1.286376966,1.79553928,-2.427417865,-0.206097798,-0.353381228,-1.392862863,-0.385650213,0.427497398,0.730854377,0.298308721,0.905543508,0.606091519,0.171627935,-0.268757224,1.922162916,4.358523704,-0.784547245,-0.681983744,0.338444239,0.058919746,1.543479141
4/1/1986,1.84915,1.7,6.92,0.204546116,0.284954849,0.041240636,-0.030752845,-1.295677203,0.499712536,-0.970314723,1.461732502,3.5115884,-1.794976418,2.251945299,4.49310658,-1.317606034,1.05822646,0.909029395,1.442311719,1.654958371,2.058468729,0.140801061,0.199195391,-0.140032095,0.813870547,0.34702607,0.278798951,0.742747535,-0.491380873,-0.243837883,-1.726797893,-0.480209587,-0.132851937,-0.716837835,1.16884378,0.0682483,0.5685073,-0.618156917,0.599782206,0.42313322,-0.673973715,-0.979567832,2.922618526,-1.409082542,-0.668414619,-0.200433404,-0.196043063,0.874156768,1.013643608,0.096695477,0.201755157,0.34194518,0.178219189,1.308846397,-1.871061329,-0.671058924,-0.782791966,-1.2491586,0.192304499,-0.932314754,-0.546303845,0.585835199,0.290798005,-0.78917261,0.145405682,-0.091901188,-0.324025519,2.658640314,-1.382488324,-0.839466615,0.091154971,-0.245885174,0.197788887
7/1/1986,4.08599,1.7,6.21,-0.316553162,-0.46810529,-0.061699858,0.104719257,-0.57933818,0.824485403,-0.095248164,0.05877173,3.321749691,-1.286778453,0.583978214,4.594945979,-0.095397266,-0.777084555,1.469488723,1.68828352,0.881637554,1.954240004,-0.691941424,-0.600010684,0.090749123,0.531021212,0.5257616,0.373835242,1.069443548,-0.537855048,0.492552523,-1.300070007,0.328552656,0.445308034,0.091891121,-0.338549733,1.254752159,0.105457401,0.975419601,0.532663373,0.577435072,0.281137941,1.230449199,3.312579833,-1.289393611,0.271582024,-0.063470685,0.089469328,-0.703153231,0.069763418,0.288479305,-0.249262369,-0.391842809,0.664894666,1.790039926,-0.263304797,-0.613243009,-0.649787116,-0.454811068,0.526631821,0.842887892,-0.153578817,-0.282699543,-1.434536177,-0.241913035,-0.223512711,0.046349916,1.364414839,2.659383726,-0.329883941,0.085046753,-0.442638768,-0.02522232,-1.7258041
10/1/1986,2.08966,1.3,6.27,-0.467802689,-0.400126555,-0.010323636,-0.484124305,-0.193118668,0.683687231,1.105535689,0.141482861,2.948415301,0.072478995,-0.466851346,4.289405885,0.827581872,-0.018682183,1.960647331,1.412419549,0.221942767,1.809540527,0.086046511,-0.069767794,0.662049381,1.186519449,0.180077504,0.365876936,1.410703478,-0.120810557,0.241447315,0,0.906235655,0.82399972,0.592279814,1.355827846,0.50247101,-0.588420278,0.351887484,0.844920681,0.483691229,0.127302301,1.406417268,3.384190441,-0.040650695,-0.267206242,0.02205088,-0.017697893,0.6283147,-0.695822143,-0.472938371,-0.375772016,-0.161387647,1.108157777,1.317095429,1.266631301,0.14334943,-0.217659047,-0.055559477,0.673282492,0.489664541,0.906473681,0,0.241251818,0.604827347,1.25E-15,0.00659277,1.598437685,3.212841624,0.117101716,0.13292444,0.69010395,0.370011437,0.52565795
1/1/1987,2.82351,2,6.22,-0.269710062,-0.057133804,0.991717281,-0.634157345,2.267316185,0.705248379,0.157517677,2.266819417,2.092174795,-1.563273747,-0.983128074,4.097068029,0.7890885,-0.568828514,1.971322838,1.9185954,1.028822545,-0.222544913,-0.396391768,0.954548852,-0.283485103,-0.693911929,-0.044839871,-0.486923122,1.313546638,0.093358664,1.434619,1.738431758,1.0861605,0.975929701,0.6704522,0.30212024,0.447431678,-1.257580421,0.069389049,1.999963311,0.203351173,1.024017922,2.428967609,2.844039884,-1.649585653,0.384888623,0.010799856,0.000759127,-0.143638788,0.21431322,-0.388948755,0.409890716,0.106007982,0.47525117,0.998132862,1.422479593,-0.0899902,0.153029092,-0.102033595,-0.40217593,0.265887104,0.630988665,-0.575435757,0.85176156,0.519101529,0.580636514,0.902651637,2.514724769,2.499503339,0.701181741,0.485292556,-0.261266993,-0.078326183,-0.038975066
4/1/1987,4.5689,3.7,6.65,0.233515572,0.014353183,0.738727659,0.628802325,-1.13768465,1.297451786,1.457809891,0.796750686,1.143196485,-1.010734866,-1.781159239,4.607439037,0.876720181,-1.193380185,1.696188997,1.949120117,-1.214276153,0.8733364,-1.347672653,-1.080752201,-0.799011739,-0.335623796,0.385946624,0.350222766,1.69949495,0.281961141,-0.677824573,-0.432941178,1.451199086,1.180827576,0.961620905,1.903841428,1.440817724,-0.737761992,-0.046129788,0.250360169,0.118443734,-0.680571825,2.27999962,4.231804112,-1.185965997,0.931072408,-0.543878678,-0.212295192,-0.477029911,-0.56696619,0.198932243,0.637923991,0.909309257,1.071599994,1.586563805,0.291886394,0.357592157,0.981000005,1.806273227,0.715250112,-0.001318101,0.157804719,-0.994362402,1.165219218,-0.209802941,0.420781674,0.267285021,2.552221295,3.82656326,0.731215992,0.627645039,0.006434227,0.230297575,-0.853325957
7/1/1987,3.68019,4.2,6.84,0.362445166,0.344056473,0.622149308,0.314330481,-0.214780161,1.549205952,0.874013189,1.398668804,0.828947748,0.583057077,0.37343851,4.904718924,0.620676325,-0.496936645,1.859698133,2.286840723,2.266097326,1.594537804,-0.264141508,0.296659582,-0.641752438,-0.940412801,0.716089255,0.428219957,1.548915787,0.655541037,0.929344384,0.433356669,1.472148049,1.219652605,0.995656868,1.355391996,0.919085638,-0.568316163,0.346620693,0.312058536,0.126925683,-0.386425133,2.13580153,3.28541696,0.247104357,0.378719186,0.661526404,0.232008317,-0.355506001,0.289612459,0.540864647,1.113983549,0.402096253,1.642815343,1.966019273,0.1397114,0.177441415,0.364383598,0.707460314,0.357219052,0.903032186,0.343566526,-0.847482727,-2.559405493,0.269996945,0.233570099,0.722992482,2.51763359,3.549221877,0.83603528,0.407924571,0.355319909,0.061526229,-0.291301531
