date,ser01,ser02,ser03,ser04,ser05,ser06,ser07,ser08,ser09,ser10,ser11,ser12,ser13,ser14,ser15,ser16,ser17,ser18,ser19,ser20,ser21,ser22,ser23,ser24,ser25,ser26,ser27,ser28,ser29,ser30,ser31,ser32,ser33,ser34,ser35,ser36,ser37,ser38,ser39,ser40,ser41,ser42,ser43,ser44,ser45,ser46,ser47,ser48,ser49,ser50,ser51,ser52,ser53,ser54,ser55,ser56,ser57,ser58,ser59,ser60,ser61,ser62,ser63,ser64,ser65,ser66,ser67,ser68,ser69,ser70,yt
1975-01-01,1.470012242,-1.093898467,-1.086978811,0.020828858,-0.346351244,-0.027003859,-1.736766182,0.039679217,-1.170647653,-0.073019537,-0.093757609,-0.628920363,-0.965380452,1.174003641,-0.810515964,-0.364779553,-0.514575052,1.05988256,0.454710551,-0.932701987,1.150362715,0.844165623,0.721050662,0.961766121,-1.399189031,-0.254923915,-1.698139178,0.322213766,-0.618191645,-0.706935312,-0.544831243,0.032774092,0.726930911,-0.950006723,0.312336012,0.094876607,0.851023105,-0.454868447,-0.56502538,-0.773087385,-0.067550664,-0.116404226,1.701056964,0.607390075,-1.383803604,-1.094569612,0.041644544,0.319645854,-0.471138088,-0.45504344,-0.508349891,1.655406446,0.174724422,-0.382509833,0.215796124,-0.165070108,1.394616538,0.689444667,-0.444689602,-0.483893819,1.357589063,-0.245584212,0.225222631,-0.886285089,-0.127225096,-0.265301813,-0.815992208,-0.792265891,-0.230454886,-0.501823699,2.735377298
1975-04-01,-1.130700073,1.355182479,-0.770051872,-0.419250251,-0.312538377,0.214051864,0.484564534,-0.686142529,-0.18624493,1.163351215,0.215466475,-0.624436177,1.181781972,0.879831955,1.026783227,-0.530265045,0.549417853,0.14194533,1.142298786,-0.055495666,-1.150630236,0.238745725,0.149643829,0.26078938,-0.198074887,-0.210530268,-1.058242574,1.670516349,-0.540347945,-0.075583123,-0.400203986,-1.085200335,-0.056248779,0.934366081,1.304130292,1.823003696,0.31390222,-0.38467468,-1.215407128,-3.051793354,-2.390888729,1.027291707,-1.262369064,-2.555011797,-1.872744802,0.677844158,1.209244186,-1.093909761,-1.130528186,-0.934624947,0.210118793,-0.732908038,-0.424638534,0.26694321,0.507645714,-0.37264023,-0.5359791,0.156997828,-0.280892481,-0.051221352,-0.840830183,-0.290660023,0.806682614,0.740794224,-0.58769066,-0.780717309,0.700445145,-0.917094748,-0.260740096,0.267035069,2.876519309
1975-07-01,-0.002254192,2.283058945,0.266493353,-0.05335693,0.503694428,0.344553536,-1.288421736,-0.569200396,-1.019183377,1.050987661,-0.328697949,0.931847132,0.687674432,-2.378794815,-0.728658969,0.002236312,-1.278755028,1.337359525,1.481818767,1.417617424,0.193004446,0.155885136,0.054158957,1.073006316,1.054206885,0.188610779,0.174677285,0.525680768,1.705905808,0.993113385,0.75435318,0.53220466,-1.625956745,-1.271905541,0.203039509,-0.501549612,0.837239165,0.537652204,0.473652461,0.628894182,0.496446031,0.425504579,-0.304119168,-1.618080188,0.798678163,-0.349916617,0.080333401,0.104876222,1.128468956,1.090567268,0.043952395,1.935663576,0.572260287,0.857498594,0.187983064,-0.915008918,-1.214449546,-1.047301412,-1.004427765,-1.93608009,-0.673047657,-1.111773163,0.991747827,-0.015074226,1.422531868,0.727244011,-2.131716498,-0.77740633,0.330155154,1.13948399,5.108829311
1975-10-01,-0.818329206,0.535249671,-0.23323411,0.278261252,-1.673420606,-0.264651304,1.178657774,-1.081030117,0.252399897,0.267846663,0.288958697,-0.298363247,0.285049166,0.897415827,1.084948585,-1.891536949,-0.433413337,-1.667935707,-0.096539718,-1.742021595,0.458453524,-1.653283684,0.43339452,-0.373559292,0.085181989,-0.954565939,-0.107438566,0.248107064,-1.035587509,0.060061202,-2.174312487,-1.015468324,-1.264936555,0.526441711,-2.348396333,-1.21456274,-0.7674305,1.130377583,-0.908149194,2.0988526,-0.320604224,0.787556207,0.214358722,-0.830990151,-0.929062663,1.326232279,-1.670815948,0.890495484,1.780120249,-0.868926096,-1.392562889,0.214301519,-1.408398303,-1.430856425,-0.662522891,0.065418831,0.646898407,0.802750091,1.427441112,-0.611416904,-1.647335064,-2.116036351,-0.149026755,-1.911794042,0.45637323,-0.748731124,-0.082560213,-1.487702306,0.514849235,-0.928431935,3.305842585
1976-01-01,0.721741651,-1.129318988,0.270049084,-0.496151782,1.143283071,-0.548733026,1.532197952,0.289655938,-0.640291662,0.363840343,0.081281268,0.252714418,0.73354569,-0.632661695,-1.666890773,-0.991736008,0.445825946,1.039746389,0.75371541,-0.357002556,-0.172002983,-0.840309787,0.361430079,-0.77572988,0.633651936,-0.465116662,-0.246664023,1.70885998,0.026239831,-0.373874094,-0.726218132,-0.004306726,-0.903193389,0.870025706,1.567409642,-1.966037728,-1.734413421,1.184401743,-1.035394938,1.51140592,-1.015254359,0.386467036,-0.153590969,0.261934968,-0.215523676,1.602690664,-0.937066374,0.431635594,1.621303186,-0.250304982,0.241284682,-2.359911914,-0.903070283,-0.920980862,-0.358181847,0.642229938,1.022864699,0.663216051,0.461693861,0.45453267,1.18976144,0.614243984,-2.231794509,-0.608379133,-0.431570878,0.395418483,0.593302234,-1.107003602,-0.322732955,-0.653826878,2.658131715
1976-04-01,-0.52858584,0.484508145,-0.315010159,-1.017414074,1.956440189,-1.402348915,1.194047434,-1.180358362,-0.189365885,1.272845748,-0.382145644,-1.629326352,1.311921413,-0.182259871,0.837204396,-0.696659445,-1.148740052,0.405176401,-0.564612981,-0.266125886,0.578047201,-0.254018853,0.336615298,-0.702701505,-0.208904476,-0.338193078,1.171531146,0.383453849,-0.727690747,-0.66221486,-0.372139754,0.810935158,-1.413065872,0.940357727,0.129575985,0.501484762,-0.126729136,-0.165652463,-0.870782108,0.481469718,-1.679555534,0.290862828,-1.27689987,0.895389506,0.104738704,-0.03174149,0.338080227,0.320843102,1.20108446,-0.296098873,-0.540484911,0.499396288,-0.781191665,-0.701037168,-0.809186855,-0.308833301,-0.266041405,-0.926243216,-0.159344334,1.022361695,2.328090917,0.17086384,-1.305968996,-1.317213722,-0.714225833,-0.773164223,0.749750135,-0.818510616,-1.040166476,-0.695491726,3.707192948
1976-07-01,-1.739269158,0.815220276,-0.239281852,1.857076308,-1.087589056,0.225110169,-0.830544576,0.437367254,-0.673161072,-0.259524544,-1.476953688,0.958051178,0.38932776,-1.094557186,0.946317207,0.878714813,0.227948919,1.7905047,0.869621094,0.731513892,-0.673130983,-1.218034826,1.116096457,-0.114198561,1.695024935,0.22655079,-0.703939769,-0.457982947,0.73204579,-0.085466717,-0.097464422,1.048918559,0.335860678,-1.380069246,-0.788157173,0.881442306,-0.303347648,0.852494592,-2.120707688,-0.583329833,1.233728439,-0.504017915,0.980002407,1.187269284,0.513283233,1.124645736,-0.355624578,0.183285601,-1.225714239,0.920283373,0.754712131,1.755123894,-0.36601649,-0.55716035,1.035577494,-1.264048384,-0.214007565,-0.887768656,0.230226923,-0.542048949,-0.852396739,-0.644803783,-0.353365773,0.529796403,-0.43874058,-0.571225853,0.711949123,0.010922821,0.187461131,0.700695369,3.442879074
1976-10-01,-0.012955651,1.372301924,0.567145798,-0.077824747,0.749673118,-0.820935161,0.174276888,0.102392729,-0.347590649,1.259724465,1.370836337,-0.225677531,0.602044458,-1.2777423,0.699073019,0.014479271,0.152202241,0.08584323,0.384727996,-0.816136913,-2.621438513,-0.403418957,0.34358665,0.309891088,0.207016479,0.331930589,-0.054032189,-0.415879454,0.002593688,0.114082064,-0.636178288,0.757269198,0.51839893,-0.688849597,0.854715189,-0.350143875,-1.086106186,0.706035382,0.389208462,-1.16271881,-0.470399105,0.846801552,-0.314591274,0.443051867,0.713756381,-0.191149926,-0.658458544,-0.833202621,0.114915661,0.556111764,0.987125313,-0.702615775,-0.412962755,-0.022524724,-0.101298364,-0.192223388,-0.081951775,-0.514894294,0.855256084,-2.366850325,0.064198543,1.052515743,0.547081451,0.800980168,-0.225370118,-0.288057299,-1.567910487,0.442237183,0.097468531,-1.459493826,2.720730264
1977-01-01,0.154940688,0.412127922,-0.12086947,0.151814265,-0.134002419,0.086736683,2.114083953,0.370774518,0.578106757,-0.899606285,0.110121865,1.310792824,2.649548389,-0.978015023,-1.197643714,0.62966326,-1.689493648,0.102926832,1.39038776,0.870605762,-0.138895608,0.468653414,0.593858042,-0.173849444,0.913863377,0.714477238,0.544329738,0.830254746,0.903651098,1.247030852,0.478063958,0.006879622,0.87099031,-0.966258814,0.070347132,0.016605735,0.737310677,0.115506231,-0.240252107,0.191115535,0.799852333,-0.210345781,1.037479332,0.402242696,0.146791553,-0.172806605,2.172610772,-0.101509856,0.428827369,0.688222968,-0.591894437,-1.096982962,-0.679215346,0.542093435,1.424118844,0.468255649,1.533312756,-0.845156587,-0.830222987,1.664017746,0.026375771,1.007535627,0.066427954,0.803473831,0.666999912,-2.008126357,0.041073973,0.053647778,0.081550321,0.16263693,4.195608405
1977-04-01,2.076874999,0.101682657,1.311179139,-0.031467703,1.12154915,0.345827608,-1.116421043,0.2286818,0.165484523,0.011459037,-1.305846103,1.145359704,-0.225887028,-0.063671319,0.02627038,0.570601419,0.722633572,1.364549982,-0.688741757,1.715144044,-0.080527602,-0.762622236,1.047108935,-1.005165657,-0.123557452,0.705247976,0.900588585,0.132755354,1.717942729,0.68601106,0.141364315,-0.145646858,0.133822458,-1.123443414,-0.085473527,0.177321566,-0.391609254,-0.498404314,-0.494169161,0.625324597,0.430186462,-0.603480204,-0.476470292,1.749119444,0.099754317,-0.054200197,2.44516312,-0.798235852,0.948054642,0.618024598,0.658356399,3.242090548,0.763992563,1.018168177,2.007548075,-0.079044083,-1.567759841,1.422668898,0.322238234,0.960504686,-2.095917116,1.113634376,0.512993387,1.247599313,-0.302861641,0.389458937,1.203147941,0.194720075,-0.289428666,1.480323614,4.178217889
