date,ser01,ser02,ser03,ser04,ser05,ser06,ser07,ser08,ser09,ser10,ser11,ser12,ser13,ser14,ser15,ser16,ser17,ser18,ser19,ser20,ser21,ser22,ser23,ser24,ser25,ser26,ser27,ser28,ser29,ser30,ser31,ser32,ser33,ser34,ser35,ser36,ser37,ser38,ser39,ser40,ser41,ser42,ser43,ser44,ser45,ser46,ser47,ser48,ser49,ser50,ser51,ser52,ser53,ser54,ser55,ser56,ser57,ser58,ser59,ser60,ser61,ser62,ser63,ser64,ser65,ser66,ser67,ser68,ser69,ser70
1975-01-01,1.654325108,-0.51811157,-0.928601768,0.639092229,-0.915690539,0.388380367,-0.9717265,-0.244581075,0.39252577,-0.650408968,-0.195746722,0.616561626,-0.379477866,2.753125666,-0.423031414,0.630746159,-0.488372214,0.464269857,1.20394022,-0.286587195,2.335322767,0.497296014,0.003694768,0.776030367,-1.421221339,-0.111944759,-0.771967289,0.464412114,-1.154316273,-0.849658907,0.064907181,0.307456725,1.78526587,-1.564648866,2.882531487,0.800033625,-0.198423045,0.171730569,0.272391541,-0.402610053,0.972621514,1.105196971,0.434664015,0.41139386,-0.135636359,-1.250712207,-0.740877015,0.65289585,-0.405128488,0.436847466,-0.276138632,2.594870626,0.070419197,0.559952403,0.841324294,0.689536343,0.193265435,-0.430158858,0.253233028,-0.662296771,2.045994303,-0.753855203,0.018014561,-0.435698485,0.004945322,-1.356452418,-1.708644958,-0.263133927,-0.423029502,0.936685792
1975-02-01,2.106227886,-0.061076159,-0.381728696,-1.417224253,0.482596109,-0.40707214,-2.01500248,0.772846842,-0.606853921,0.406889747,-0.984178024,-0.534322286,-0.508837938,-0.982404084,-0.672552614,-1.488806109,-0.79657391,-0.17670631,-0.116613343,0.65967066,0.350917096,0.483572351,0.932673874,-0.305158047,-1.749948543,-0.821130761,-1.182097405,0.962835012,-1.37995588,-0.356686433,-1.216626867,-0.129113631,0.637988572,-0.531152173,-2.05331393,-0.832750734,0.417511542,-0.833554107,-0.535237749,-0.603076221,-1.080361187,-1.003364559,1.908110807,-0.166169446,-0.856199209,0.05794915,0.661538181,-0.666270768,0.194808399,-1.67525561,-0.450077274,0.738888283,-0.611278418,-1.96728585,0.59891021,-1.656298599,1.544733841,1.617313929,-1.841659894,0.801686404,-0.415501802,-0.351327053,0.303437791,-0.297366933,0.148491912,0.054374639,0.710028828,-0.422263839,-0.725805521,-0.19650953
1975-03-01,-1.182856231,-1.460501486,-0.616827114,0.816037506,-0.178944648,-0.029922466,-0.07042022,-0.454073295,-1.635403072,0.110242075,1.014813674,-1.237837122,-0.72464184,0.135799461,-0.435673876,0.152841298,0.405143012,1.605752321,-0.261967583,-2.063376422,-0.476207502,0.570559716,0.500356395,1.511285944,0.058502625,0.284781379,-1.422410889,-0.838692695,1.170999003,-0.356948194,-0.042725575,-0.11464927,-1.035895026,0.072407972,-0.2643434,0.206775538,1.28058215,-0.231815071,-0.852486838,-0.42149497,-0.005028303,-0.318675029,0.90301747,0.842182828,-1.59775542,-0.600034336,0.149672756,0.671935635,-0.640386537,0.294100364,-0.378066822,-0.460538033,0.922594427,0.607009615,-1.044737109,0.684400086,0.723529791,0.075099271,0.688432357,-0.902156615,0.898342306,0.673291139,0.087422915,-0.843350459,-0.364565848,0.818016335,-0.321549116,-0.76301795,0.738625887,-1.572355323
1975-04-01,-0.851893293,0.349813602,-1.222022236,-0.121383209,-0.739149888,0.337303443,-0.559611835,-1.478396783,-0.144006002,2.221952912,1.179795736,0.748901897,1.728646794,0.443989305,-0.076814274,-0.620468711,1.83687579,0.377890298,0.26999641,-0.497780373,-0.760959093,0.018303567,0.220121044,-0.788726993,-0.943719488,-0.77767376,-0.60205919,0.99270423,-0.429847262,-0.555249427,0.41519297,-0.316241484,-1.224152387,0.435735091,1.634523007,0.568984615,0.501273902,-2.06478682,-1.887478561,-0.947985754,-2.616866313,1.328076746,-0.491976508,-2.354401561,-1.368527032,-0.96030525,-1.349448091,-0.563221443,-1.323795347,-1.800865943,-0.175711658,-0.410367386,-0.625746795,-0.42848235,0.192381161,-0.219709311,0.781773693,0.702868533,-0.286539216,-0.377642211,0.756534307,-1.379945696,1.027256105,-0.683283342,-1.541519935,-1.270671665,-0.074389064,-1.183562938,0.203936993,1.503729023
1975-05-01,0.422931078,0.852201777,-0.885723826,0.005636537,0.428382305,0.044623875,0.383996002,0.726050155,-0.489793778,-0.04560282,-1.135422735,-0.823914245,0.911365656,0.497051217,0.900829176,-0.277096419,-0.222447693,0.087699168,2.126206754,1.063728573,-0.311072702,0.832297702,0.396144417,-0.492486736,0.14285705,0.02785625,-0.894197397,0.00113935,0.219736067,0.628002101,-0.47271964,-1.426699104,0.380867663,1.658783942,0.295577204,1.058087684,-1.259047372,0.835554677,-1.003255811,-2.283071018,-0.667431196,-0.388090512,-2.092719205,-0.916100684,-1.482894833,0.693000376,2.789327783,-1.698320766,0.196462665,0.622827647,0.89582153,-1.767258208,-0.549474125,0.667667571,-0.750136286,0.120172397,0.006920051,-0.032640673,-0.554881994,-0.213347877,-2.04959854,0.113034042,1.000847395,1.870599903,0.271354469,0.419601341,0.016257521,0.052771389,-0.038492606,0.265346084
1975-06-01,-1.553743666,1.32486547,0.742483662,-0.647227599,-0.241520604,0.003423839,1.028572375,-0.530607367,0.33951562,-0.052971396,0.335072476,-1.072346051,-0.665491149,0.487760955,1.115823426,-0.127582242,-0.675051937,-0.212026142,-0.322781035,-0.666520445,-1.138514516,-0.411828579,-0.318093574,1.81868933,0.360220607,0.214420354,-0.607887912,2.057515187,-0.981496377,-0.239894711,-0.819849141,-0.366059396,0.735933018,-0.104438536,0.428479883,1.717368122,1.310931126,0.473496835,0.491578894,-2.402798241,-0.707013119,0.973695345,0.175965221,-1.303721871,-0.653152807,1.377546951,0.602425922,0.007779213,-0.91399627,-0.761498747,-0.26367119,0.905547258,0.247477244,0.319339017,1.488135863,-0.537886213,-1.734708722,-0.3827919,0.272930988,0.510249326,-0.273183382,0.755748982,-0.563630019,0.130317902,0.29489943,-0.573402214,1.191357238,-0.545835528,-0.629561122,-1.326248287
1975-07-01,-1.147214695,1.679419328,1.01029461,1.092185418,-0.796746589,-1.172931296,0.495891095,-2.335614343,-0.50294722,0.238623904,0.342466698,0.85628533,1.873657115,-0.957700905,-0.630731726,0.012493226,-0.825853054,1.210229328,1.800616862,0.209341183,0.350856324,0.061785753,0.392777432,0.419703092,0.745618491,-0.528473374,0.113233567,1.125261036,1.975125269,0.240194494,0.388779322,-0.108325608,-1.105761975,-0.650903159,-0.018089766,0.252406028,1.054862971,0.067007128,-0.601837614,-0.252947452,0.377422921,1.025671456,0.180610069,-1.905564869,0.715683609,-0.741937279,0.47296475,-0.219182225,0.598892903,1.392737871,-0.283379084,0.403315056,0.14657764,0.657321421,0.050664507,-0.16566813,-2.166991642,-0.826681577,-0.281486677,-2.145309773,-0.365301456,-1.428803302,0.852405452,0.208775837,0.090949872,-0.054533933,0.23779605,-0.86408752,0.106896579,1.185373126
1975-08-01,1.210153156,0.81498575,-0.210130081,-0.76626809,1.396615245,0.959305453,-3.063084864,1.466885902,-0.932644726,0.639540994,-0.660554446,0.70664279,-0.12639244,-1.113541835,-0.307438288,1.637684324,-2.347001724,0.880590798,0.652682846,1.196049784,0.498400853,0.505325152,-0.058701443,0.73941165,0.647150074,0.993489267,0.330965317,0.122671874,1.272374402,0.709675713,0.765242612,1.408308889,-1.019806788,-0.9365718,-0.220708809,-0.208068393,0.928915244,0.5572119,1.937352031,0.638417522,0.520569689,-0.197267539,0.326821504,0.258572243,-1.131194738,0.284695488,-1.076805006,-0.091944003,0.391953976,1.212125629,-0.087571431,0.927896134,1.030101703,0.52172263,0.138973539,0.119438381,0.788916192,-1.620630329,-1.049695638,-2.084857342,-1.070570526,-1.374950381,0.311164063,-0.728666992,1.107778426,0.847545647,-0.917305656,-0.180462916,-0.563934745,0.39124829
1975-09-01,-0.066891233,1.762599432,-0.327685509,-0.423019153,0.290212379,0.83391525,0.299244566,-0.195566355,-0.174811756,1.040124936,-0.26076309,0.149276703,-0.598298245,-1.791796705,-0.438440511,-1.645854147,0.986482455,0.29816532,0.236395721,1.163691955,-0.4784645,-0.280621417,-0.226161893,1.052304738,0.952443685,0.01463806,-0.096881306,-0.287726432,0.514465735,1.246268118,0.499762779,-0.265686126,-0.977596018,-1.121521506,0.606004939,-0.964468954,-0.50839759,0.43205729,-0.400547137,0.775518972,-0.069233707,-0.035756349,-1.08772234,-1.249847784,1.910123346,-0.115887221,0.739516208,0.527200858,1.04676384,-0.341714392,0.466427806,2.028440459,0.073586048,0.615096917,0.154885343,-1.518947055,-0.765454887,0.529883552,-0.70165018,1.178303443,0.182159509,0.84855897,0.636876368,0.49307896,1.161947326,0.533895105,-2.76931994,-0.376699121,1.044713535,0.312995834
1975-10-01,0.231802654,0.741050503,0.308336864,-0.230083176,-0.094971452,-1.963491597,0.440851778,-1.505206196,0.060985296,-0.69167947,-0.948875465,-0.686179628,-0.353103174,0.28201754,1.112444525,-0.716076189,-1.250463235,-1.459356343,1.132565311,-0.361586185,0.827190781,0.039534038,0.374080196,-1.392314335,0.076533339,-0.436787034,-1.293734969,-0.28590205,-0.434663226,0.063233618,-1.945530422,-1.006240453,-1.846851818,-0.041526578,-1.215941678,-0.306345096,0.64077964,0.190949752,-0.586570034,1.663743423,-0.342891903,0.335267369,0.840163983,-0.555131297,-0.514499466,0.271823749,-0.909873426,1.342557855,0.878264896,-0.166946987,-0.496237986,0.267327092,-1.734512031,-0.666232676,1.508185539,1.134425486,0.23295464,-0.031983796,1.620738237,-0.138506062,-1.507223395,0.123479092,-0.074102008,-1.602964636,0.908516872,-1.095737466,-0.07241029,-0.719749479,0.981296487,-1.360462562
